Duration__in_seconds_,RecordedDate,Q4,Q5,Q6,Q62,Q62_4_TEXT,Q63,Q65_1,Q65_2,Q65_3,Q65_4,Q66_1,Q66_2,Q66_3,Q66_4,Q66_5,Q67_1,Q67_2,Q67_3,Q68_1,Q68_2,Q68_3,Q68_4,Q69_1,Q69_2,Q69_3,Q69_4,Q70_1,Q70_2,Q70_3,Q70_4,Q71_1,Q71_2,Q71_3,Q71_4,Q72_1,Q72_2,Q72_3,Q72_4,Q72_5,Q72_6,Q72_7,Q72_8,Q72_9,Q72_10,Q72_11,Q72_12,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Q73_6,Q73_7,Q73_8,Q73_9,Q73_10,Q73_11,Q73_12,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q74_10,Q74_11,Q74_12,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q75_7,Q75_8,Q75_9,Q75_10,Q75_11,Q75_12,Q75_13,Q75_14,Q75_15,Q75_16,Q75_17,Q75_18,Q75_19,Q75_20,Q75_21,Q75_22,Q75_23,Q75_24,Q75_25,Q75_26,Q75_27,Q75_28,Q75_29,Q75_30,Q75_31,Q75_32,Q75_33,Q75_34,Q75_35,Q75_36,Q75_37,Q75_38,Q75_39,Q75_40,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,Q82_1
1111.00,11/6/18 13:17,23.00,1,5,2,,8,3,2,3,3,4,3,3,3,3,3,2,2,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,3,2,2,1,2,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
132.00,11/6/18 14:15,#NULL!,#NULL!,#NULL!,2,,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!
2412.00,11/6/18 20:19,19.00,2,6,1,,4,3,3,4,4,3,2,1,3,2,1,1,1,2,2,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,3,3,3,1,1,1,2,1,1,3,2,2,3,2,3,2,1,1,1,2,4,1,4,4,3,4,4,1,4,1,4,4,1,3,1,4,3,4,3,1,2,3,1,1,4,1,2,4,1,2,4,1,1,1,2,1,1,1,1,1,1,1,3
1223.00,11/8/18 11:49,18.00,2,2,1,,3,3,3,3,3,1,1,1,2,1,1,2,2,2,1,1,1,2,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,1,1,1,2,3,2,2,1,1,2,1,1,1,1,1,1,3,2,4,1,2,1,1,4,1,2,1,1,1,4,1,2,3,2,1,1,2,1,1,3,1,1,1,1,1,2,1,1,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,1
2708.00,11/10/18 11:56,20.00,2,2,1,,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2417.00,11/10/18 16:22,#NULL!,2,1,1,,3,3,3,3,3,2,3,3,3,3,1,1,3,1,1,1,1,1,3,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,1,1,1,1,6,1,1,1,1,1,1,2,2,3,4,4,4,3,3,2,1,4,4,2,4,4,4,4,4,2,3,2,1,4,4,2,1,1,2,1,1,1,1,1,2,1,1,1,2,3,1,3,1,1,1,3,4,1,2,2,2,1,1,1,1,1,1,3,1,2,2,1,2,1,2,1,1,1,1,1,1
1528.00,11/11/18 13:44,21.00,1,5,2,,6,3,3,3,3,3,4,2,2,2,2,1,1,3,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,1,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,2,#NULL!,3,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1
5365.00,11/11/18 14:44,20.00,2,6,1,,5,5,2,2,2,5,3,1,2,2,5,3,3,1,2,1,1,1,1,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,6,1,1,1,1,1,1,1,1,1,1,3,3,3,4,1,1,1,1,3,2,4,4,4,4,3,3,1,1,1,1,3,2,4,4,2,4,1,3,1,1,4,4,4,1,1,2,3,3,2,1,2,4,2,1,1,4,1,1,2,1,1,3,2,1,1,4,3,2,1,1,4,1,2,3,1,1,1,1,3,1
3936.00,11/11/18 15:13,18.00,2,5,1,,3,3,3,3,2,3,2,1,1,4,4,3,3,2,2,3,3,1,2,3,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,6,1,6,1,6,1,1,6,1,1,1,2,3,2,2,4,3,3,3,2,3,4,3,3,2,2,2,3,2,3,3,2,4,3,2,2,2,2,1,1,2,2,1,1,1,1,2,1,2,3,1,2,1,1,1,3,4,1,1,1,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,1,2,1
10957.00,11/11/18 16:18,19.00,1,6,2,,4,1,1,2,3,3,3,1,2,1,1,1,1,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,3,1,1,1,1,1,2,1,1,1,1,4,1,1,4,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
873.00,11/11/18 20:14,19.00,2,5,1,,4,3,3,3,3,1,1,1,1,1,3,2,2,2,1,1,1,1,3,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,1,3,1,3,1,4,1,2,1,3,2,4,3,2,1,2,1,1,1,4,1,1,4,1,1,3,1,1,2,1,3,3,1,3,3,4,1,1,1,1,1,1,3,1
5461.00,11/11/18 21:51,19.00,2,5,1,,4,3,3,3,3,3,3,1,2,4,3,3,3,4,3,3,2,3,1,1,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,1,3,1,1,2,2,1,1,3,1,1,1,2,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,2,1,1
1451.00,11/12/18 9:35,21.00,2,5,1,,6,2,2,2,2,2,1,1,2,1,3,2,4,1,2,1,1,1,2,3,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,3,1,1,3,2,1,2,1,2,1,3,1,2,1,2,2,3,1,1,1,1,2,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1584.00,11/12/18 13:09,20.00,2,2,1,,5,3,3,3,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,6,6,6,1,1,1,2,1,1,1,2,2,1,1,4,1,2,1,2,1,2,1,1,1,1,1,4,1,1,1,4,4,1,2,#NULL!,4,3,4,1,3,3,2,3,3,3,2,1,1,1,3,3,4,1,2,3,1,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,1,1
1152.00,11/12/18 14:35,18.00,2,2,1,,3,2,2,1,1,2,2,1,1,1,3,4,2,1,1,1,1,1,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,2,4,1,1,1,1,4,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1
1607.00,11/12/18 14:36,18.00,2,5,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,6,1,1,6,6,2,6,6,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,1,2,3,1,2,1,1,1,2,2,1,2,1,4,2,1,4,1,1,2,1,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
3009.00,11/12/18 14:59,18.00,2,5,1,,3,4,4,3,3,2,1,1,2,2,4,4,4,3,3,2,2,1,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,1,1,1,1,1,6,1,1,1,1,1,2,2,2,2,2,3,3,2,3,2,2,2,2,1,1,#NULL!,1,3,3,2,3,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,1,1,2,1,1,3,1,2,1,3,1,1,1,1,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,2,1
2445.00,11/12/18 15:03,19.00,1,5,2,,4,5,5,5,5,5,5,2,1,5,2,1,2,4,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,3,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,2,1,2,1,1,2,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,1,1,1,3,1,1,1,1,1,1,4,1,1,1,3,1,3,1,2,1,1,1,1,1,1,3,1,4,3,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
527.00,11/12/18 15:10,19.00,2,5,1,,4,2,2,2,2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,1,1,1,2,1,3,1,1,1,2,#NULL!,1,1,3,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2
757.00,11/12/18 17:46,19.00,2,5,1,,4,1,1,1,1,1,3,4,4,4,3,4,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,3,3,1,1,1,1,1,1,1,1,4,4,3,3,4,4,2,1,1,1,3,2,1,2,1,3,1,3,3,2,1,1,4,2,1,3,3,1,3,2,1,1,1,1,1,1,3,3,2,1,2,1,1,1,1,1,1,1,3,1
2900.00,11/12/18 18:11,21.00,2,2,1,,6,3,1,1,3,3,1,2,2,1,3,2,4,4,4,2,2,1,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,1,1,1,1,1,6,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,1,1,1
2175.00,11/12/18 23:00,20.00,2,5,1,,5,3,3,3,3,3,1,1,1,1,5,5,5,5,4,1,2,2,1,5,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,3,3,3,1,1,1,1,2,1,2,2,2,3,2,2,1,1,1,1,2,1,2,4,1,1,1,3,4,4,1,3,1,4,2,4,3,1,1,1,4,2,2,4,1,2,2,1,2,3,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1
25544.00,11/12/18 23:34,21.00,2,5,1,,6,1,1,1,1,3,2,1,1,2,3,3,2,#NULL!,#NULL!,4,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,6,1,6,1,6,1,1,1,1,1,1,3,3,2,1,2,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,3,1,2,1,3,2,2,2,1,3,2,1,3,3,1,3,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1
1430.00,11/13/18 0:24,18.00,2,2,1,,3,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,2,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,1,3,1,1,1,3,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1600.00,11/13/18 11:22,18.00,2,5,1,,3,4,4,4,4,4,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,2,1,1,2,1,1,1,2,1,1,2,2,2,1,1,3,1,1,1,4,2,2,1,1,3,1,4,2,3,1,3,1,2,2,1,2,1,2,3,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
1130.00,11/13/18 16:38,18.00,2,5,1,,3,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,2,2,2,2,1,6,1,2,6,6,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,2,3,3,3,2,1,3,3,3,3,3,3,1,4,1,1,1,1,3,3,2,3,1,1,2,1,1,2,1,3,3,3,1,2,2,2,2,1,1,2,2,2,2
2325.00,11/13/18 18:56,39.00,1,5,2,,8,2,2,5,5,4,2,2,3,2,2,2,3,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,1,2,2,1,2,2,1,3,1,3,1,1,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,1,1,2,2,1,1,1,1,1
1359.00,11/13/18 21:06,20.00,1,5,2,,5,2,2,3,3,3,2,2,2,2,3,2,2,3,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,2,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,2,2,1,1,2,1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1265.00,11/13/18 22:15,19.00,1,6,2,,4,5,2,5,5,5,2,1,5,3,1,1,1,5,5,1,1,#NULL!,#NULL!,#NULL!,#NULL!,5,2,3,2,#NULL!,#NULL!,#NULL!,#NULL!,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,1,1,1,1,2,3,3,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,4,1,1,3,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2796.00,11/14/18 2:07,18.00,1,2,2,,3,3,4,3,4,3,2,2,2,3,4,3,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,1,1,2,1,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,2,1,1,1,3,1,1,1,1,1,1,3,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1
