Duration__in_seconds_,RecordedDate,Q4,Q5,Q6,Q62,Q62_4_TEXT,Q63,Q65_1,Q65_2,Q65_3,Q65_4,Q66_1,Q66_2,Q66_3,Q66_4,Q66_5,Q67_1,Q67_2,Q67_3,Q68_1,Q68_2,Q68_3,Q68_4,Q69_1,Q69_2,Q69_3,Q69_4,Q70_1,Q70_2,Q70_3,Q70_4,Q71_1,Q71_2,Q71_3,Q71_4,Q72_1,Q72_2,Q72_3,Q72_4,Q72_5,Q72_6,Q72_7,Q72_8,Q72_9,Q72_10,Q72_11,Q72_12,Q73_1,Q73_2,Q73_3,Q73_4,Q73_5,Q73_6,Q73_7,Q73_8,Q73_9,Q73_10,Q73_11,Q73_12,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q74_10,Q74_11,Q74_12,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q75_7,Q75_8,Q75_9,Q75_10,Q75_11,Q75_12,Q75_13,Q75_14,Q75_15,Q75_16,Q75_17,Q75_18,Q75_19,Q75_20,Q75_21,Q75_22,Q75_23,Q75_24,Q75_25,Q75_26,Q75_27,Q75_28,Q75_29,Q75_30,Q75_31,Q75_32,Q75_33,Q75_34,Q75_35,Q75_36,Q75_37,Q75_38,Q75_39,Q75_40,Q77_1,Q78_1,Q79_1,Q80_1,Q81_1,Q82_1
5018.00,11/23/18 15:34,18.00,1,2,2,,4,2,2,1,2,3,1,1,1,1,2,2,2,3,3,1,1,#NULL!,#NULL!,#NULL!,#NULL!,3,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,3,1,2,4,2,2,2,1,1,4,1,1,1,2,1,1,1,1,2,4,2,2,2,1,3,1,1,4,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,#NULL!,1
1087.00,11/23/18 18:26,21.00,2,5,1,,6,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,3,2,3,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,6,1,1,1,1,1,3,2,2,4,4,4,3,4,1,3,1,2,2,2,3,4,4,4,4,4,1,1,1,3,4,4,3,3,2,1,1,2,2,2,1,2,1,1,2,2,4,1,1,2,1,3,1,1,1,1,1,3,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,3,1
1566.00,11/23/18 20:48,19.00,2,5,1,,4,5,5,4,4,2,3,3,1,2,3,1,2,2,2,2,2,2,3,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,4,3,3,4,4,4,4,4,3,3,4,4,4,3,3,4,4,4,4,4,3,3,4,4,3,1,1,1,2,4,1,4,1,3,1,2,2,2,4,4,3,2,3,1,2,3,1,2,2,1,1,4,1,1,2,1,4,3,2,1,4,2,2,2,1,1,1,1,1,1
2391.00,11/24/18 16:03,#NULL!,1,6,2,,8,2,3,3,3,2,1,1,1,3,3,3,3,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
2298.00,11/24/18 18:49,19.00,1,6,2,,4,2,2,2,2,3,2,3,1,3,1,1,1,3,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,2,2,2,2,3,6,1,1,1,1,1,2,2,2,3,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,3,2,1,2,3,3,2,1,2,3,2,3,1,1,2,4,1,1,1,2,3,3,1,1,2,2,2,1,1,1,1,2,1,3,2,1,1,1,1,1,1,2,1,1
1465.00,11/25/18 11:21,18.00,2,5,1,,3,2,1,1,2,1,1,1,1,1,4,3,2,3,3,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
745.00,11/25/18 21:34,20.00,2,5,1,,5,3,2,3,3,3,3,3,4,3,4,3,4,3,4,3,4,2,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,2,2,2,2,6,2,6,6,2,6,6,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,2,2,3,3,3,2,3,2,3,3,3,2,2,#NULL!,3,3,3,2,3,2,2,3,2,2,2,3,2,3,3,3,3,2,3,3,2,3,2,3,3,2,2,2,3,3,2,2,3,3,3,2,2,1,2,2,2
1542.00,11/25/18 23:33,18.00,2,5,1,,3,3,3,4,4,3,2,2,3,1,5,5,5,2,3,1,1,1,1,4,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,3,1,1,1,1,1,2,1,1,1,2,1,2,1,1,2,3,4,4,1,2,1,#NULL!,1,1,1,2,2,3,2,1,2,1,4,1,3,3,1,1,3,2,1,2,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1
2157.00,11/26/18 14:53,20.00,1,3,2,,5,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,2,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,2,1,1,1,1,1,1,1,3,2,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,3,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1550.00,11/26/18 15:45,18.00,1,5,2,,3,1,3,4,5,5,5,3,3,2,3,3,3,3,3,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,1,2,2,1,1,1,1,2,1,2,3,2,4,1,4,1,1,4,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1014.00,11/26/18 17:37,19.00,1,5,2,,4,2,2,1,1,2,2,1,2,3,3,3,4,4,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,4,3,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,4,3,1,1,1,1,1,1,1,3,1,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1236.00,11/26/18 20:29,18.00,2,2,1,,3,3,4,3,3,1,1,1,2,1,3,2,1,2,2,1,1,1,1,1,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,2,2,2,2,1,1,1,1,2,2,3,3,1,1,1,1,4,2,1,1,1,4,1,3,1,2,1,4,1,4,3,4,4,1,3,2,1,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
3247.00,11/26/18 20:55,18.00,2,2,1,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,4,2,1,2,2,2,1,1,1,2,1,2,1,2,3,2,2,1,2,1,1,1,3,2,2,3,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1704.00,11/27/18 13:16,#NULL!,1,5,2,,3,3,3,3,3,5,2,2,3,2,1,1,2,2,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,4,2,1,1,1,4,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
1665.00,11/27/18 15:15,21.00,2,5,1,,6,4,4,5,5,3,3,3,3,4,3,2,3,3,3,3,3,2,1,3,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,4,4,4,4,2,4,4,3,2,2,3,2,3,3,3,3,2,3,3,3,4,2,1,3,1,2,1,3,1,4,2,3,3,3,3,1,2,2,2,1,4,4,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,1,2,1,1,1,1,1,1,1
2614.00,11/27/18 19:03,18.00,2,5,1,,3,3,2,3,3,3,1,4,3,4,4,4,4,1,1,1,1,1,2,2,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,2,1,6,6,6,1,1,1,1,1,1,3,1,2,2,3,3,2,2,2,3,1,1,1,1,1,2,2,1,2,1,1,2,1,1,2,1,1,3,3,1,2,1,2,1,1,3,2,3,2,1,3,1,3,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
20989.00,11/27/18 20:33,18.00,2,5,1,,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,1,1,1,1,3,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1
2427.00,11/27/18 22:57,18.00,2,5,1,,3,4,4,5,5,4,4,3,4,2,2,2,3,2,3,2,2,1,3,3,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,3,1,2,2,3,2,4,1,3,1,4,3,2,2,2,4,2,2,4,1,2,2,1,1,3,1,1,2,1,2,2,2,1,2,1,3,1,1,1,1,1,1,1
2218.00,11/28/18 0:02,18.00,2,5,1,,3,4,4,4,4,3,2,2,2,1,3,3,3,3,3,3,3,3,3,4,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,1,1,1,1,1,6,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,3,2,2,2,3,2,3,1,1,1,3,2,3,3,2,1,1,2,1,2,3,1,2,3,1,1,3,1,1,3,3,3,3,3,1,3,1,1,1,1,1,1,1,3,1
1573.00,11/28/18 10:57,18.00,2,5,1,,3,4,5,5,5,5,5,5,4,5,4,5,5,4,3,3,3,3,4,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,5,5,3,1,3,6,2,2,2,4,3,2,3,3,3,3,2,2,3,2,2,3,3,2,2,3,3,2,2,2,3,2,2,3,4,1,3,2,1,2,4,3,2,3,1,2,4,4,4,3,2,1,3,3,2,4,4,2,3,2,1,3,2,1,3,1,2,4,2,1,4,2,3,1,1,1,1,1,1,1
1288.00,11/28/18 11:39,19.00,1,6,2,,4,2,2,4,3,3,1,2,2,2,2,2,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,2,1,2,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,3,1,1,2,2,1,2,2,2,2,1,1,3,1,1,1,2,1,4,1,3,1,3,2,1,1,2,1,2,2,1,3,2,1,1,1,2,2,3,1,1,1,1,2,1,1,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1
1574.00,11/28/18 15:22,19.00,2,5,1,,4,5,5,5,5,5,3,2,4,4,4,4,2,3,3,3,3,2,4,4,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,1,3,1,1,1,1,1,1,1,1,3,2,2,3,3,3,2,2,1,2,2,3,3,2,2,3,2,2,1,1,1,1,2,2,3,4,1,1,1,2,1,3,4,4,2,4,2,4,4,2,4,1,1,2,2,4,2,1,4,1,1,1,1,1,1,1,4,4,2,1,2,4,4,2,1,1,1,3,1,2
1222.00,11/28/18 16:02,20.00,2,2,1,,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,1,1,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7441.00,11/28/18 16:08,18.00,1,6,2,,3,2,3,1,1,3,3,3,3,3,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1920.00,11/28/18 16:19,18.00,2,6,1,,3,2,2,2,2,3,1,1,2,1,4,4,4,2,2,2,2,2,2,3,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,1,1,1,1,1,6,1,1,1,1,6,2,3,3,2,2,2,1,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2,2,3,1,2,2,2,3,4,3,2,1,3,2,4,4,2,4,1,2,1,1,4,2,1,1,2,1,3,3,2,3,1,4,3,3,2,1,2,3,3,1,1,3,3,3,3
941.00,11/28/18 16:26,19.00,2,6,1,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,1,3,2,3,1,2,1,4,1,3,3,1,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1842.00,11/29/18 14:34,19.00,2,5,1,,4,4,4,4,3,4,2,2,3,3,5,5,5,4,4,4,4,3,4,4,4,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,6,1,6,1,6,1,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,1,1,1,4,1,3,1,3,1,4,1,2,3,1,3,1,1,3,1,4,1,2,1,1,1,2,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,2
3469.00,11/29/18 15:50,18.00,2,6,1,,3,3,2,3,3,2,1,1,2,3,2,2,3,1,1,1,1,1,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,6,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2527.00,11/29/18 17:05,20.00,1,5,2,,5,2,2,4,3,1,1,1,3,2,2,3,2,1,2,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,2,2,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,4,2,1,2,1,1,2,2,2,1,1,1,4,2,1,2,2,1,1,2,1,3,1,2,1,1,1,3,1,3,2,2,2,3,3,1,1,4,1,2,3,1,2,3,1,1,1,1,3,2,1,1,2,1,1,2,2,1,1,1,2,3
197.00,11/29/18 19:22,20.00,2,5,1,,5,3,3,3,#NULL!,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
3148.00,11/29/18 19:50,19.00,1,1,2,,4,2,1,3,3,1,3,2,2,4,5,4,2,2,2,1,3,#NULL!,#NULL!,#NULL!,#NULL!,2,3,3,2,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,2,2,3,2,1,4,2,1,2,1,1,2,2,3,3,1,1,4,1,1,3,3,1,2,1,2,2,4,1,1,1,2,3,3,2,2,2,1,2,1,1,3,1,1,3,1,2,3,1,1,2,1,2,3,1,1,3,1,1,1,1,1,1,1,1,1
2083.00,11/29/18 20:39,21.00,2,5,1,,6,4,4,4,4,4,4,4,4,4,2,1,4,3,3,1,1,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,6,1,1,1,1,1,1,1,1,3,2,3,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,3,1,2,1,1,1,3,4,2,1,1,3,3,3,1,3,3,3,1,1,3,2,4,3,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
1992.00,11/30/18 13:59,19.00,1,5,2,,4,#NULL!,#NULL!,#NULL!,#NULL!,4,1,1,2,1,3,2,1,2,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,#NULL!,#NULL!,#NULL!,#NULL!,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,4,3,2,1,3,1,4,1,2,4,1,1,1,4,1,1,1,1,2,2,1,1,2,1,1,1,1,3,2,1,1,2,1,1,1,1,1,1,1,1,1
1357.00,11/30/18 16:00,21.00,3,5,3,,6,4,4,5,5,5,3,3,2,2,4,4,2,2,2,2,2,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,1,3,5,5,2,2,1,1,1,1,6,6,6,1,1,1,4,3,3,4,4,3,3,4,3,4,4,4,3,3,2,3,3,3,3,4,3,4,4,4,2,3,2,3,1,4,4,3,1,4,1,4,2,4,4,1,3,4,4,3,4,4,1,2,4,4,1,3,1,1,2,1,4,4,1,1,3,2,2,2,2,1,1,1,3,1
902.00,11/30/18 19:46,19.00,1,5,2,,4,3,2,4,4,4,4,2,2,3,1,2,3,2,3,2,1,#NULL!,#NULL!,#NULL!,#NULL!,1,3,3,3,#NULL!,#NULL!,#NULL!,#NULL!,2,1,1,1,2,2,1,1,1,1,1,1,2,2,3,2,2,2,2,3,1,3,1,1,2,2,3,1,1,1,2,3,1,3,1,1,2,4,2,1,2,4,1,4,2,2,1,3,1,2,3,2,4,1,2,1,1,2,1,1,2,1,1,2,1,1,1,1,3,2,1,1,1,2,1,1,1,1,1,1,1,1